PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Darren Sproles, RB",SD,45,57,497,11.0,4,81,7,31.1,0,551,20
"Mark Clayton, WR",BAL,34,74,480,14.1,2,54,8,34.3,1,80,24
"Matt Forte, RB",CHI,57,71,471,8.3,0,37,6,29.4,1,500,17
"Ted Ginn, WR",MIA,38,78,454,11.9,1,53,3,28.4,0,44,25
"Mike Thomas, WR",JAX,48,63,453,9.4,1,28,7,32.4,0,211,28
"Bo Scaife, TE",TEN,45,70,440,9.8,1,27,3,31.4,1,196,24
"James Jones, WR",GB,32,63,440,13.8,5,74,6,27.5,0,186,16
"Deion Branch, WR",SEA,45,79,437,9.7,2,35,4,31.2,0,190,17
"Jacoby Jones, WR",HOU,27,40,437,16.2,6,45,7,31.2,0,138,19
"Adrian Peterson, RB",MIN,43,57,436,10.1,0,63,5,27.3,1,441,16
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Andre Caldwell, WR",CIN,51,80,432,8.5,3,24,2,27.0,1,108,29
"Kelley Washington, WR",BAL,34,49,431,12.7,2,28,6,28.7,0,113,27
"Tim Hightower, RB",ARI,63,80,428,6.8,0,23,2,26.8,0,445,22
"Bryant Johnson, WR",DET,35,87,417,11.9,3,36,6,26.1,0,115,23
"Steve Slaton, RB",HOU,44,55,417,9.5,4,38,5,37.9,2,451,20
"Tony Scheffler, TE",DEN,31,50,416,13.4,2,52,5,27.7,0,182,19
"Kevin Smith, RB",DET,41,58,415,10.1,1,63,3,31.9,0,391,16
"Frank Gore, RB",SF,52,75,406,7.8,3,48,3,29.0,0,414,13
"Benjamin Watson, TE",NE,29,41,404,13.9,5,36,5,25.3,0,83,20
"Chester Taylor, RB",MIN,44,59,389,8.8,1,33,5,24.3,0,386,17
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Justin Gage, WR",TEN,28,67,383,13.7,3,49,5,31.9,0,55,22
"Maurice Jones-Drew, RB",JAX,53,71,374,7.1,1,19,0,23.4,0,381,16
"Fred Jackson, RB",BUF,46,60,371,8.1,2,21,1,23.2,1,420,20
"David Anderson, WR",HOU,38,54,370,9.7,0,27,2,23.1,0,141,22
"Bobby Wade, WR",KC,36,74,367,10.2,2,25,5,30.6,0,105,17
"Maurice Stovall, WR",TB,24,46,366,15.3,1,38,7,24.4,0,105,16
"Chaz Schilens, WR",OAK,29,52,365,12.6,2,25,5,45.6,0,49,17
"Julian Edelman, WR",NE,37,54,359,9.7,1,29,3,32.6,0,263,19
"Dennis Northcutt, WR",DET,35,63,357,10.2,1,47,5,22.3,0,116,18
"David Thomas, TE",NO,35,49,356,10.2,1,37,3,23.7,0,200,18
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Justin Forsett, RB",SEA,41,57,350,8.5,1,47,2,21.9,1,409,12
"Brandon Gibson, WR",STL/PHI,34,69,348,10.2,1,23,5,38.7,2,89,23
"Malcolm Kelly, WR",WSH,25,41,347,13.9,0,84,4,21.7,0,186,15
"Brandon Pettigrew, TE",DET,30,54,346,11.5,2,30,3,31.5,1,188,20
"Eddie Royal, WR",DEN,37,79,345,9.3,0,20,1,24.6,0,121,23
"Anthony Fasano, TE",MIA,31,54,339,10.9,2,27,3,24.2,2,127,21
"Joseph Addai, RB",IND,51,63,336,6.6,3,25,1,22.4,0,308,17
"Reggie Bush, RB",NO,47,68,335,7.1,3,29,3,23.9,0,296,16
"Sammie Stroughter, WR",TB,31,58,334,10.8,1,35,2,25.7,0,130,19
"Randy McMichael, TE",STL,34,62,332,9.8,1,35,3,20.8,0,137,15
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Chris Cooley, TE",WSH,29,45,332,11.4,2,25,1,47.4,1,179,17
"Brandon Stokley, WR",DEN,19,33,327,17.2,4,87,3,20.4,0,199,15
"Sam Aiken, WR",NE,20,42,326,16.3,2,81,4,23.3,0,186,12
"Danny Amendola, WR",STL,43,63,326,7.6,1,25,1,23.3,1,199,20
"Devin Thomas, WR",WSH,25,47,325,13.0,3,40,8,23.2,0,168,16
"Steven Jackson, RB",STL,51,75,322,6.3,0,38,3,21.5,0,379,16
"Mark Bradley, WR",KC,24,57,320,13.3,2,50,5,24.6,0,108,11
"Joel Dreessen, TE",HOU,26,39,320,12.3,1,25,6,20.0,0,136,16
"Jordy Nelson, WR",GB,22,31,320,14.5,2,51,5,24.6,0,88,15
"Dante Rosario, TE",CAR,26,48,313,12.0,2,26,7,22.4,0,123,19
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"LeSean McCoy, RB",PHI,40,56,308,7.7,0,45,2,19.3,0,399,13
"Pierre Thomas, RB",NO,39,45,302,7.7,2,36,3,21.6,1,381,12
"Kevin Faulk, RB",NE,37,53,301,8.1,1,38,2,20.1,0,277,13
"Devin Aromashodu, WR",CHI,24,43,298,12.4,4,39,4,29.8,0,76,16
"Jamaal Charles, RB",KC,40,55,297,7.4,1,49,3,19.8,0,238,11
"Will Heller, TE",DET,29,50,296,10.2,3,24,3,18.5,0,110,17
"Josh Reed, WR",BUF,27,45,291,10.8,1,29,2,20.8,0,100,18
"Daniel Graham, TE",DEN,28,42,289,10.3,1,24,3,18.1,0,201,14
"Daniel Fells, TE",STL,21,35,273,13.0,3,36,3,19.5,1,116,13
"Isaac Bruce, WR",SF,21,49,264,12.6,0,50,5,26.4,0,62,13
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Ricky Williams, RB",MIA,35,53,264,7.5,2,59,2,16.5,1,269,9
"Johnnie Lee Higgins, WR",OAK,19,45,263,13.8,0,33,3,17.5,0,39,14
"Rashard Mendenhall, RB",PIT,25,32,261,10.4,1,26,5,16.3,0,241,13
"Donald Lee, TE",GB,37,55,260,7.0,1,19,0,16.3,0,135,10
"J.P. Foschi, TE",CIN,27,38,260,9.6,2,27,3,17.3,1,130,9
"Jason Snelling, FB",ATL,30,38,259,8.6,1,38,2,18.5,1,209,13
"Keenan Burton, WR",STL,25,45,253,10.1,0,25,3,28.1,0,80,17
"DeAngelo Williams, RB",CAR,29,41,252,8.7,0,30,2,19.4,0,202,14
"Darren McFadden, RB",OAK,21,35,245,11.7,0,48,3,20.4,1,197,10
"Rock Cartwright, RB",WSH,27,32,242,9.0,1,51,2,15.1,0,237,9
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Legedu Naanee, WR",SD,24,29,242,10.1,2,23,3,16.1,0,132,14
"Gary Barnidge, TE",CAR,12,21,242,20.2,0,55,3,15.1,1,103,8
"Correll Buckhalter, RB",DEN,31,38,240,7.7,0,30,3,17.1,0,259,8
"Chris Henry, WR",CIN,12,23,236,19.7,2,73,4,29.5,0,63,11
"Delanie Walker, TE",SF,21,33,233,11.1,0,39,4,14.6,1,156,10
"Julius Jones, RB",SEA,35,43,232,6.6,2,49,3,16.6,0,290,10
"Michael Clayton, WR",TB,16,48,230,14.4,1,47,4,17.7,0,39,11
"Alge Crumpler, TE",TEN,27,37,222,8.2,1,27,2,13.9,1,108,9
"Marion Barber, RB",DAL,26,36,221,8.5,0,42,3,14.7,1,232,10
"Jerome Harrison, RB",CLE,34,50,220,6.5,2,18,0,15.7,0,251,11
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Cadillac Williams, RB",TB,28,39,217,7.8,3,22,1,13.6,0,209,10
"Brian Leonard, RB",CIN,30,35,217,7.2,0,18,0,15.5,1,219,13
"Early Doucet, WR",ARI,17,24,214,12.6,1,29,4,23.8,0,113,12
"Knowshon Moreno, RB",DEN,28,41,213,7.6,2,27,3,13.3,2,213,10
"Zach Miller, TE",JAX,21,27,212,10.1,2,62,2,15.1,0,78,10
"Maurice Morris, RB",DET,26,38,210,8.1,0,19,0,15.0,0,204,7
"Ahmad Bradshaw, RB",NYG,21,30,207,9.9,0,55,3,13.8,0,268,6
"Jeff King, TE",CAR,25,33,200,8.0,3,32,1,12.5,1,71,12
"Chansi Stuckey, WR",CLE/NYJ,19,40,198,10.4,1,40,2,18.0,0,62,14
"Ryan Grant, RB",GB,25,30,197,7.9,0,27,2,12.3,1,198,9
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Dwayne Jarrett, WR",CAR,17,31,196,11.5,1,30,3,15.1,0,50,10
"Mike Tolbert, RB",SD,17,22,192,11.3,3,66,3,12.0,1,196,9
"David Clowney, WR",NYJ,14,22,191,13.6,1,53,2,14.7,1,50,7
"Domenik Hixon, WR",NYG,15,28,187,12.5,1,61,1,13.4,0,102,10
"Brandon Jackson, RB",GB,21,26,187,8.9,1,17,0,15.6,0,200,11
"Jerheme Urban, WR",ARI,18,29,186,10.3,0,40,1,18.6,0,61,9
"Jerious Norwood, RB",ATL,19,23,186,9.8,1,38,2,18.6,1,149,9
"Brandon Jacobs, RB",NYG,18,31,184,10.2,1,74,2,12.3,0,228,5
"Marty Booker, WR",ATL,16,32,181,11.3,1,27,2,11.3,0,55,9
"Brian Westbrook, RB",PHI,25,34,181,7.2,1,34,3,22.6,0,174,7
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Sammy Morris, RB",NE,19,27,180,9.5,0,35,1,15.0,0,182,10
"Ladell Betts, RB",WSH,17,20,179,10.5,0,25,3,17.9,0,189,10
