RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
127,"Jay Fiedler, QB",MIA,12,59,4.9,26,1,0,7.4,1,3
128,"Tony Richardson, FB",KC,12,56,4.7,13,0,0,3.5,0,3
 ,"Dante Hall, WR",KC,8,56,7.0,17,0,0,3.5,0,2
130,"Tim Rattay, QB",SF,12,55,4.6,15,0,0,6.1,1,4
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
131,"Fred McAfee, RB",NO,2,54,27.0,53,1,0,4.9,0,1
 ,"Tim Dwight, WR",SD,4,54,13.5,48,1,0,4.5,0,1
 ,"Eric McCoo, RB",PHI,9,54,6.0,12,0,0,54.0,0,3
134,"Lorenzo Neal, FB",SD,16,53,3.3,8,0,0,3.3,1,11
 ,"Eric Parker, WR",SD,4,53,13.3,38,2,0,3.5,0,2
 ,"Brock Forsey, RB",MIA,19,53,2.8,15,0,0,8.8,1,2
 ,"Joey Harris, RB",CAR,15,53,3.5,19,0,0,13.3,0,3
138,"T.J. Houshmandzadeh, WR",CIN,6,51,8.5,16,0,0,3.2,0,2
139,"Billy Volek, QB",TEN,11,50,4.5,14,0,1,5.0,0,5
 ,"Cedric Cobbs, RB",NE,22,50,2.3,13,0,0,16.7,1,3
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
141,"Nate Burleson, WR",MIN,6,49,8.2,11,0,0,3.1,0,4
142,"Rex Grossman, QB",CHI,11,48,4.4,8,0,1,16.0,0,4
 ,"Musa Smith, RB",BAL,12,48,4.0,13,0,0,5.3,0,4
144,"Carson Palmer, QB",CIN,18,47,2.6,14,0,1,3.6,0,4
 ,"Tony Hollings, RB",HOU,11,47,4.3,13,0,0,6.7,0,2
146,"Reche Caldwell, WR",SD,4,45,11.3,20,1,0,7.5,0,2
147,"Johnnie Morton, WR",KC,7,43,6.1,14,0,0,3.3,1,3
148,"Jon Kitna, QB",CIN,10,42,4.2,15,0,0,10.5,1,2
 ,"Walter Williams, RB",GB,6,42,7.0,28,1,0,42.0,0,1
 ,"Thomas Tapeh, RB",PHI,12,42,3.5,10,0,0,6.0,0,3
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
151,"Craig Krenzel, QB",CHI,18,41,2.3,12,0,0,6.8,2,4
152,"Troy Fleming, RB",TEN,7,40,5.7,13,0,0,2.5,0,2
153,"Doug Flutie, QB",SD,5,39,7.8,20,1,2,19.5,0,4
 ,"Chad Johnson, WR",CIN,4,39,9.8,18,0,0,2.4,0,1
 ,"Justin Griffith, FB",ATL,9,39,4.3,10,0,0,3.3,0,2
156,"Vinny Testaverde, QB",DAL,21,38,1.8,10,0,1,2.4,3,2
 ,"Peyton Manning, QB",IND,25,38,1.5,19,0,0,2.4,1,4
158,"Drew Bledsoe, QB",BUF,22,37,1.7,17,0,0,2.3,6,3
 ,"Donte' Stallworth, WR",NO,6,37,6.2,26,1,0,2.3,0,1
160,"Brett Favre, QB",GB,16,36,2.3,17,0,0,2.3,1,2
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
161,"Kerry Collins, QB",OAK,16,36,2.3,8,0,0,2.6,3,3
 ,"Alan Ricard, RB",BAL,10,36,3.6,14,0,0,2.3,0,3
 ,"Antonio Chatman, WR",GB,4,36,9.0,18,0,0,2.3,1,1
164,"Jonathan Quinn, QB",CHI,3,35,11.7,23,1,0,7.0,0,2
 ,"Eli Manning, QB",NYG,6,35,5.8,15,0,0,3.9,1,2
166,"Ike Hilliard, WR",NYG,3,34,11.3,17,0,0,2.1,0,2
 ,"Peerless Price, WR",ATL,3,34,11.3,16,0,0,2.1,0,1
 ,"Antwaan Randle El, WR",PIT,8,34,4.3,12,0,0,2.1,0,1
169,"Rod Smith, WR",DEN,5,33,6.6,14,0,0,2.1,0,2
 ,"Dexter Coakley, LB",DAL,1,33,33.0,33,1,0,2.1,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Darius Watts, WR",DEN,5,33,6.6,10,0,0,2.1,0,2
172,"Cecil Sapp, FB",DEN,4,32,8.0,18,0,0,6.4,0,2
173,"Kurt Warner, QB",NYG,13,30,2.3,13,0,1,3.0,3,5
 ,"Shaun King, QB",ARI,9,30,3.3,16,0,0,10.0,2,1
 ,"Jabar Gaffney, WR",HOU,4,30,7.5,10,0,0,1.9,1,1
 ,"Michael Clayton, WR",TB,5,30,6.0,15,0,0,1.9,0,3
177,"Jerald Sowell, FB",NYJ,2,28,14.0,19,0,0,1.8,0,1
 ,"Tom Brady, QB",NE,43,28,0.7,10,0,0,1.8,2,12
 ,"Bernard Berrian, WR",CHI,8,28,3.5,25,1,0,1.8,0,1
180,"Rich Gannon, QB",OAK,5,26,5.2,20,1,0,8.7,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Andrew Pinnock, RB",SD,9,26,2.9,11,0,0,26.0,1,2
 ,"Matt Schaub, QB",ATL,8,26,3.3,11,0,0,4.3,0,2
 ,"Ian Smart, RB",TB,2,26,13.0,25,1,0,6.5,0,1
184,"Hines Ward, WR",PIT,7,25,3.6,16,0,1,1.6,0,3
 ,"Luke McCown, QB",CLE,6,25,4.2,11,0,0,5.0,2,2
 ,"Adimchinobe Echemandu, RB",CLE,8,25,3.1,6,0,0,6.3,1,2
187,"Nicolas Luchey, RB",GB,10,24,2.4,4,0,0,1.5,0,4
 ,"Kevin Curtis, WR",STL,3,24,8.0,15,0,0,1.6,0,2
189,"Brad Johnson, QB",TB,5,23,4.6,7,0,0,5.8,0,1
 ,"Quincy Morgan, WR",CLE/DAL,2,23,11.5,24,1,0,2.6,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Brian Moorman, P",BUF,2,23,11.5,34,1,0,1.4,1,1
 ,"Tim Carter, WR",NYG,2,23,11.5,15,0,0,4.6,0,1
 ,"B.J. Askew, FB",NYJ,6,23,3.8,14,0,0,1.4,0,1
194,"Jamel White, RB",TB/BAL,13,20,1.5,10,0,0,2.9,0,0
 ,"Quincy Carter, QB",NYJ,12,20,1.7,9,0,0,2.9,1,2
 ,"Heath Evans, FB",SEA,7,20,2.9,7,0,0,1.3,1,3
197,"Joey Galloway, WR",TB,2,19,9.5,14,0,0,1.9,0,1
 ,"Eric Moulds, WR",BUF,5,19,3.8,12,0,0,1.2,0,1
 ,"Dennis Northcutt, WR",CLE,8,19,2.4,8,0,0,1.2,0,1
 ,"Patrick Ramsey, QB",WSH,10,19,1.9,17,0,0,2.1,1,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
201,"Adrian Peterson, RB",CHI,6,19,3.2,13,0,0,1.4,0,1
 ,"James Mungro, RB",IND,5,19,3.8,8,0,0,1.3,0,1
 ,"B.J. Sams, RB",BAL,4,19,4.8,8,0,1,1.2,0,2
204,"Stanley Pritchett, RB",ATL,6,18,3.0,8,0,0,1.3,0,1
 ,"Rob Konrad, FB",MIA,2,18,9.0,15,0,0,1.8,0,1
 ,"Dan Kreider, FB",PIT,4,18,4.5,6,0,0,1.1,0,1
 ,"Santana Moss, WR",NYJ,6,18,3.0,12,0,0,1.2,1,2
 ,"Mike McMahon, QB",DET,2,18,9.0,14,0,0,18.0,0,0
209,"Ki-Jana Carter, RB",NO,10,17,1.7,8,0,0,8.5,0,2
 ,"Brandon Bennett, RB",CAR,6,17,2.8,11,0,1,2.1,0,2
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Brian Griese, QB",TB,30,17,0.6,7,0,0,1.5,3,1
212,"Greg Lewis, WR",PHI,4,16,4.0,11,0,0,1.0,0,1
213,"Tommy Maddox, QB",PIT,9,15,1.7,10,0,0,3.8,1,2
 ,"Doug Pederson, QB",GB,2,15,7.5,9,0,0,3.8,0,1
 ,"Muhsin Muhammad, WR",CAR,3,15,5.0,13,0,0,0.9,1,1
 ,"Eddie Kennison, WR",KC,2,15,7.5,15,0,0,1.1,0,1
 ,"Fred Beasley, RB",SF,9,15,1.7,4,0,0,1.1,0,4
 ,"Cliff Russell, WR",CIN,3,15,5.0,13,0,0,1.2,0,2
 ,"Kerry Carter, RB",SEA,4,15,3.8,6,0,0,0.9,0,2
 ,"J.P. Losman, QB",BUF,2,15,7.5,10,0,0,3.8,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
221,"Trent Dilfer, QB",SEA,10,14,1.4,11,0,0,2.8,1,1
 ,"Peter Warrick, WR",CIN,2,14,7.0,8,0,0,3.5,0,0
 ,"Dez White, WR",ATL,3,14,4.7,26,1,0,0.9,0,1
 ,"Chad Hutchinson, QB",CHI,6,14,2.3,11,0,0,2.8,4,1
 ,"Chris Simms, QB",TB,7,14,2.0,12,0,0,2.8,1,1
 ,"Larry Fitzgerald, WR",ARI,8,14,1.8,10,0,0,0.9,0,3
227,"Keyshawn Johnson, WR",DAL,2,13,6.5,13,0,0,0.8,0,1
 ,"Rabih Abdullah, RB",NE,13,13,1.0,5,0,1,1.4,0,3
 ,"A.J. Feeley, QB",MIA,14,13,0.9,7,0,1,1.2,3,2
 ,"Randal Williams, TE",DAL,1,13,13.0,13,0,0,6.5,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
231,"George Layne, RB",ATL/SD,1,12,12.0,12,0,0,6.0,0,1
 ,"Drew Bennett, WR",TEN,1,12,12.0,12,0,0,0.8,0,1
 ,"Andre Johnson, WR",HOU,4,12,3.0,14,0,0,0.8,0,2
 ,"Chris Horn, WR",KC,1,12,12.0,12,0,0,0.9,0,1
235,"Dedric Ward, WR",DAL,1,11,11.0,11,0,0,1.4,0,1
 ,"Jonathan Smith, WR",BUF,2,11,5.5,8,0,0,1.2,0,1
 ,"Kyle Larson, P",CIN,1,11,11.0,11,0,1,0.7,0,1
238,"David Terrell, WR",CHI,3,10,3.3,20,1,0,0.6,1,1
 ,"Darian Barnes, RB",DAL,5,10,2.0,8,0,0,0.6,1,2
 ,"Jason Wright, RB",ATL,3,10,3.3,8,0,0,5.0,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
241,"Ricky Proehl, WR",CAR,1,9,9.0,9,0,0,0.6,0,0
 ,"Terrelle Smith, FB",CLE,4,9,2.3,4,0,0,0.6,0,3
 ,"Eddie Drummond, WR",DET,1,9,9.0,9,0,0,0.8,0,0
 ,"Vick King, RB",MIA,4,9,2.3,3,0,0,4.5,0,1
245,"Craig Hentrich, P",TEN,1,8,8.0,8,0,0,0.5,0,1
 ,"Bethel Johnson, WR",NE,2,8,4.0,11,0,0,0.6,0,1
247,"Cory Schlesinger, RB",DET,4,7,1.8,2,0,0,0.5,0,1
 ,"Jim Finn, FB",NYG,3,7,2.3,5,0,0,0.4,0,0
 ,"Rod Gardner, WR",WSH,3,7,2.3,11,0,0,0.4,0,2
 ,"Craig Nall, QB",GB,3,7,2.3,9,0,0,1.4,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Doug Gabriel, WR",OAK,2,7,3.5,4,0,0,0.4,0,0
 ,"Drew Henson, QB",DAL,1,7,7.0,7,0,0,1.0,0,1
 ,"Ken Dorsey, QB",SF,5,7,1.4,3,0,0,0.9,1,1
 ,"Mike Karney, FB",NO,3,7,2.3,4,0,0,0.4,0,1
255,"Jeff Blake, QB",PHI,3,6,2.0,8,0,0,2.0,0,0
 ,"Karl Williams, WR",ARI,2,6,3.0,3,0,0,0.4,1,1
 ,"Cedrick Wilson, WR",SF,1,6,6.0,6,0,0,0.4,0,1
 ,"Joey Goodspeed, RB",STL,3,6,2.0,2,0,1,0.4,0,2
259,"Tony Gonzalez, TE",KC,1,5,5.0,5,0,0,0.3,0,0
 ,"David Patten, WR",NE,1,5,5.0,5,0,0,0.3,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Chad Stanley, P",HOU,1,5,5.0,5,0,0,0.3,0,1
 ,"Ashley Lelie, WR",DEN,3,5,1.7,8,0,0,0.3,0,0
 ,"Jeremi Johnson, FB",CIN,3,5,1.7,4,0,0,0.3,1,0
 ,"Arnaz Battle, WR",SF,2,5,2.5,7,0,0,0.4,0,0
 ,"Cody Pickett, QB",SF,1,5,5.0,5,0,0,5.0,0,0
266,"Todd Collins, QB",KC,1,4,4.0,4,0,0,2.0,0,0
 ,"Chris Hetherington, FB",OAK,1,4,4.0,4,0,0,0.8,0,0
 ,"Donald Driver, WR",GB,3,4,1.3,14,0,0,0.3,1,0
 ,"Rod Smart, RB",CAR,3,4,1.3,3,0,0,1.3,0,0
 ,"Kelly Campbell, WR",MIN,3,4,1.3,16,0,0,0.3,1,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Brian Russell, S",MIN,1,4,4.0,4,0,0,0.3,0,0
 ,"Frisman Jackson, WR",CLE,1,4,4.0,4,0,0,0.4,0,1
273,"Keenan McCardell, WR",SD,1,3,3.0,3,0,0,0.4,0,0
 ,"Matt Turk, P",MIA,1,3,3.0,3,0,0,0.2,0,0
 ,"Koren Robinson, WR",SEA,1,3,3.0,3,0,0,0.3,0,0
 ,"Reggie Swinton, WR",DET,1,3,3.0,3,0,0,0.2,0,0
 ,"Anquan Boldin, WR",ARI,1,3,3.0,3,0,0,0.3,0,0
278,"Chris Chandler, QB",STL,1,2,2.0,2,0,0,0.4,0,0
 ,"Troy Edwards, WR",JAX,2,2,1.0,2,0,0,0.1,1,0
 ,"Hunter Smith, P",IND,1,2,2.0,2,0,0,0.1,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
281,"Damien Anderson, RB",ARI,1,2,2.0,2,0,0,0.5,0,0
 ,"Brooks Bollinger, QB",NYJ,1,2,2.0,2,0,0,2.0,0,0
 ,"Dante Brown, RB",BUF/PIT,1,2,2.0,2,0,0,2.0,0,1
 ,"Michael Jenkins, WR",ATL,1,2,2.0,2,0,0,0.1,0,0
285,"Jason Simmons, DB",HOU,1,1,1.0,1,0,0,0.1,0,1
 ,"Bobby Shaw, WR",BUF/SD,1,1,1.0,1,0,0,0.1,0,0
 ,"Omar Easy, RB",KC,4,1,0.3,4,0,0,0.1,0,0
 ,"Jarrod Baxter, RB",HOU,2,1,0.5,1,0,0,0.1,0,0
 ,"Jason McKie, FB",CHI,1,1,1.0,1,0,0,0.1,0,0
 ,"Derrick Frost, P",CLE,1,1,1.0,1,0,0,0.1,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Roy Williams, WR",DET,1,1,1.0,1,0,0,0.1,0,0
 ,"Chris Perry, RB",CIN,2,1,0.5,1,0,0,0.5,0,0
293,"Larry Izzo, LB",NE,1,0,0.0,0,0,0,0.0,0,0
 ,"Az-Zahir Hakim, WR",DET,1,0,0.0,0,0,0,0.0,0,0
 ,"Allen Rossum, CB",ATL,1,0,0.0,0,0,0,0.0,0,0
 ,"Kevin Johnson, WR",BAL,1,0,0.0,0,0,0,0.0,0,0
 ,"Moran Norris, RB",HOU,1,0,0.0,0,0,0,0.0,0,0
 ,"Jasen Isom, RB",SF,1,0,0.0,0,0,0,0.0,0,0
 ,"Rock Cartwright, RB",WSH,2,0,0.0,2,0,0,0.0,0,0
 ,"Shaun McDonald, WR",STL,4,0,0.0,7,0,0,0.0,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Steve Cheek, P",KC,1,0,0.0,0,0,0,0.0,1,0
302,"Rodney Peete, QB",CAR,1,-1,-1.0,-1,0,0,-1.0,0,0
