PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Riley Cooper, WR",PHI,7,18,116,16.6,1,37,3,8.9,0,14,5
"Chad Hall, WR",PHI,11,19,115,10.5,1,48,1,14.4,0,25,5
"Verran Tucker, WR",KC,6,19,114,19.0,1,38,2,10.4,0,22,5
"Deion Branch, WR",NE/SEA,13,18,112,8.6,1,41,1,28.0,1,38,7
"Jonathan Stupar, TE",BUF,12,13,111,9.3,0,35,1,6.9,1,92,4
"Tiquan Underwood, WR",JAX,8,22,111,13.9,0,22,3,11.1,0,21,6
"LaRod Stephens-Howling, RB",ARI,16,23,111,6.9,0,13,0,8.5,0,102,8
"Roydell Williams, WR",WSH,8,18,109,13.6,0,34,1,6.8,0,57,4
"Tashard Choice, RB",DAL,17,22,109,6.4,0,17,0,6.8,1,122,6
"Eric Decker, WR",DEN,6,8,106,17.7,1,38,2,7.6,1,31,4
"Johnnie Lee Higgins, WR",OAK,10,29,103,10.3,0,26,1,7.9,0,21,5
"Jonathan Stewart, RB",CAR,8,13,103,12.9,1,55,1,7.4,0,66,2
"David Clowney, WR",NYJ/CAR,6,12,102,17.0,0,31,3,10.2,0,36,3
"Stephen Williams, WR",ARI,9,23,101,11.2,0,17,0,9.2,0,26,5
"Ahmard Hall, FB",TEN,15,20,100,6.7,0,19,0,6.3,0,116,5
"Dominique Zeigler, WR",SF,9,15,98,10.9,0,20,1,8.9,0,14,5
"James Casey, TE",HOU,8,15,98,12.3,0,33,2,6.1,0,63,5
"John Kuhn, RB",GB,15,18,97,6.5,2,12,0,6.1,0,109,6
"Justin Peelle, TE",ATL,10,15,96,9.6,1,15,0,7.4,0,51,8
"Dezmon Briscoe, WR",TB,6,7,93,15.5,1,54,1,46.5,0,40,4
"Vonta Leach, FB",HOU,8,15,91,11.4,0,21,1,5.7,0,72,3
"Patrick Cobbs, RB",MIA,8,19,91,11.4,2,29,1,5.7,0,32,4
"Julian Edelman, WR",NE,7,14,86,12.3,0,40,2,5.7,0,83,3
"Michael Turner, RB",ATL,12,20,85,7.1,0,19,0,5.3,0,91,2
"BenJarvus Green-Ellis, RB",NE,12,16,85,7.1,0,16,0,5.3,0,54,5
"Rashied Davis, WR",CHI,9,14,84,9.3,1,21,1,5.3,0,30,6
"Donte' Stallworth, WR",BAL,2,5,82,41.0,0,67,1,10.3,0,28,2
"Maurice Stovall, WR",TB,7,9,81,11.6,1,38,2,6.8,0,58,4
"Randy Moss, WR",TEN/MIN/NE,6,16,80,13.3,0,26,1,10.0,0,10,4
"Matt Spaeth, TE",PIT,9,19,80,8.9,1,13,0,5.7,0,34,4
"Brandon Myers, TE",OAK,12,16,80,6.7,0,16,0,5.3,0,47,4
"Leon Washington, RB",SEA,9,13,79,8.8,0,28,1,4.9,0,71,3
