RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
271,"Stacey Mack, RB",JAX,11,0,79,7.2,0,12,0,4.9,0,0,5
272,"Kevin Swayne, WR",NYJ,5,0,78,15.6,0,24,2,5.2,1,0,3
273,"Karl Williams, WR",TB,7,0,77,11.0,1,17,0,4.8,0,0,4
274,"Kevin Lockett, WR",WSH/JAX,5,0,76,15.2,2,35,1,10.9,0,0,4
275,"Jed Weaver, TE",MIA,6,0,75,12.5,3,25,2,4.7,0,0,6
276,"Jabari Holloway, TE",HOU,7,0,73,10.4,0,24,1,6.6,0,0,2
277,"Tyrone Wheatley, RB",OAK,12,0,71,5.9,0,17,0,5.1,0,0,1
278,"Greg Comella, RB",TEN,10,0,70,7.0,0,17,0,5.8,1,0,4
 ,"Joe Dean Davenport, TE",IND,8,0,70,8.8,0,22,1,7.0,0,0,2
 ,"Tony Fisher, RB",GB,18,0,70,3.9,0,11,0,4.7,1,0,3
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
281,"Aaron Stecker, RB",TB,13,0,69,5.3,0,12,0,4.3,0,0,2
282,"Cris Carter, WR",MIA,8,0,66,8.3,1,15,0,13.2,1,0,5
 ,"Mark Bruener, TE",PIT,13,0,66,5.1,1,10,0,5.5,0,0,4
 ,"Jon Ritchie, FB",OAK,10,0,66,6.6,1,14,0,4.1,1,0,2
285,"Jerame Tuman, TE",PIT,4,0,63,15.8,1,27,1,4.8,0,0,3
 ,"Justin Swift, WR",SF,10,0,63,6.3,0,11,0,3.9,0,0,4
 ,"Reggie Swinton, WR",DAL,7,0,63,9.0,0,16,0,4.5,0,0,4
288,"Terrell Fletcher, RB",SD,10,0,62,6.2,0,13,0,6.2,0,0,2
289,"T.J. Duckett, RB",ATL,9,0,61,6.8,0,20,1,5.1,0,0,3
290,"Alan Ricard, RB",BAL,10,0,60,6.0,0,17,0,3.8,0,0,3
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
291,"Brian Kozlowski, TE",ATL,6,0,59,9.8,0,14,0,3.7,0,0,4
292,"Willie Jackson, WR",ATL/WSH,7,0,58,8.3,1,19,0,11.6,0,0,4
293,"Jerome Bettis, RB",PIT,7,0,57,8.1,0,15,0,4.4,0,0,3
 ,"Brian Dawkins, S",PHI,1,0,57,57.0,1,57,1,3.6,0,0,1
 ,"Mike Green, RB",TEN,7,0,57,8.1,1,21,1,3.8,0,0,4
296,"Lamont Warren, RB",DET,4,0,56,14.0,2,39,1,18.7,0,0,2
297,"Reuben Droughns, RB",DEN,5,0,53,10.6,1,22,1,3.3,0,0,2
298,"Avion Black, WR",HOU,6,0,52,8.7,0,14,0,4.7,0,0,2
299,"Fred Baxter, TE",CHI/NE,5,0,51,10.2,0,22,1,10.2,0,0,3
 ,"Scottie Montgomery, WR",DEN,4,0,51,12.8,1,21,1,3.4,0,0,4
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
301,"Ron Dayne, RB",NYG,11,0,49,4.5,0,8,0,3.1,0,0,1
 ,"Aaron Shea, TE",CLE,7,0,49,7.0,0,18,0,7.0,0,0,1
 ,"John Owens, TE",DET,5,0,49,9.8,0,13,0,3.3,0,0,3
304,"Mike Cloud, RB",KC,6,0,48,8.0,0,13,0,3.4,0,0,1
 ,"Sammy Morris, RB",BUF,3,0,48,16.0,0,18,0,3.0,0,0,3
 ,"Jonathan Wells, RB",HOU,9,0,48,5.3,0,9,0,3.0,0,0,0
307,"James Hodgins, RB",STL,9,0,47,5.2,0,11,0,5.2,0,0,1
 ,"John Jones, TE",BAL,6,0,47,7.8,1,18,0,3.1,0,0,3
 ,"Derrick Blaylock, RB",KC,5,0,47,9.4,0,21,1,3.9,0,0,2
310,"Nicolas Luchey, RB",CIN,7,0,46,6.6,0,15,0,2.9,0,0,2
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
311,"Rondell Mealey, RB",GB,7,0,45,6.4,0,11,0,22.5,0,0,2
 ,"Jermaine Wiggins, TE",IND/CAR,8,0,45,5.6,1,17,0,4.1,0,0,3
313,"Jesse Chatman, RB",SD,3,0,44,14.7,0,25,1,4.4,0,0,2
314,"Jameel Cook, FB",TB,4,0,43,10.8,0,14,0,3.1,0,0,3
315,"Desmond Clark, TE",MIA,2,0,42,21.0,0,26,1,3.8,0,0,2
 ,"Arnold Jackson, WR",ARI,5,0,42,8.4,1,11,0,2.6,0,0,2
317,"Jermaine Lewis, WR",HOU,2,0,41,20.5,0,33,1,3.4,0,0,2
 ,"Heath Evans, FB",SEA,8,0,41,5.1,0,13,0,2.6,0,0,3
 ,"Andre King, WR",CLE,5,0,41,8.2,0,13,0,3.7,0,0,2
320,"Charles Johnson, WR",BUF,3,0,39,13.0,0,22,1,2.4,0,0,2
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
321,"Jake Soliday, WR",ARI,4,0,39,9.8,0,16,0,9.8,0,0,2
322,"James Fenderson, RB",NO,6,0,38,6.3,0,13,0,2.4,1,0,2
323,"Sean Bennett, RB",NYG,5,0,37,7.4,0,10,0,5.3,0,0,2
 ,"Tim Carter, WR",NYG,2,0,37,18.5,0,27,1,7.4,0,0,2
325,"Damien Anderson, RB",ARI,3,0,36,12.0,0,12,0,3.6,0,0,3
326,"Javin Hunter, WR",BAL,5,0,35,7.0,0,8,0,2.9,1,0,0
327,"Daimon Shelton, FB",CHI,7,0,34,4.9,0,8,0,2.8,0,0,4
 ,"Rudi Johnson, RB",CIN,6,0,34,5.7,0,14,0,4.9,0,0,2
329,"Paul Smith, RB",SF,5,0,33,6.6,0,11,0,3.0,0,0,1
 ,"David Martin, TE",GB,8,0,33,4.1,1,7,0,4.1,0,0,3
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Phillip Crosby, FB",BUF,4,0,33,8.3,0,11,0,2.1,0,0,2
 ,"Najeh Davenport, RB",GB,5,0,33,6.6,0,13,0,4.1,0,0,2
 ,"Jarrod Baxter, RB",HOU,5,0,33,6.6,1,14,0,2.1,0,0,2
334,"Jim Finn, FB",IND,6,0,31,5.2,0,12,0,2.6,2,0,1
 ,"Terrence Wilkins, WR",STL,5,0,31,6.2,0,14,0,2.4,0,0,2
 ,"Trung Canidate, RB",STL,4,0,31,7.8,0,13,0,1.9,0,0,2
337,"Terrelle Smith, FB",NO,9,0,30,3.3,0,10,0,1.9,1,0,1
338,"Cedric James, WR",MIN,1,0,29,29.0,0,29,1,5.8,0,0,1
339,"Patrick Hape, TE",DEN,6,0,26,4.3,2,7,0,1.6,0,0,3
 ,"Karsten Bailey, WR",GB,3,0,26,8.7,0,10,0,3.7,0,0,2
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Todd Yoder, TE",TB,2,0,26,13.0,0,16,0,1.6,0,0,2
 ,"Marcus Knight, WR",OAK,3,0,26,8.7,0,12,0,1.6,0,0,0
343,"Marcellus Rivers, TE",NYG,2,0,25,12.5,1,17,0,1.6,0,0,1
 ,"Maurice Morris, RB",SEA,3,0,25,8.3,0,12,0,2.3,1,0,1
345,"Reggie Barlow, WR",TB,3,0,23,7.7,0,13,0,11.5,0,0,2
